Panzer Dragoon,1995-05-11,Shooter,Team Andromeda,90.92
Sega Rally Championship,1995-12-28,Racing,Sega,90
Virtua Fighter,1995-05-11,Fighting,Sega AM2,89.57
World Series Baseball,1995-11-17,Sports,Sega,88.75
Clockwork Knight 2,1996-02-01,Action,Sega,87.5
NFL Quarterback Club '96,1995-10-27,Sports,Iguana Entertainment,85
Rayman,1995-11-17,Action,Ubisoft Montpellier,85
Bug!,1995-05-15,Action,Realtime Associates,84.35
Shinobi Legions,1995-09-01,Action,TOSE,82.5
Virtua Fighter Remix,1995-10-02,Fighting,Sega AM2,81.25
Astal,1995-09-27,Action,Sega,80
Theme Park,1996-03-01,Simulation,Bullfrog Prod.,80
Solar Eclipse,1995-12-01,Shooter,Crystal Dynamics,78.75
Romance of the Three Kingdoms IV: Wall of Fire,1995-05-01,Simulation,Koei,75.6
Off-World Interceptor Extreme,1995-11-22,Action,Crystal Dynamics,75
Virtua Cop,1995-11-24,Shooter,Sega AM2,75
Daytona USA,1995-05-11,Racing,Sega AM2,75
Pebble Beach Golf Link,1995-05-11,Sports,T & E Soft,75
Quarterback Attack with Mike Ditka,1995-11-01,Sports,Digital Pictures,72.5
Black Fire,1995-09-01,Simulation,Nova Logic,70
Golden Axe: The Duel,1996-06-27,Fighting,Sega AM1,68.1
Clockwork Knight,1995-05-11,Action,Sega,66.67
Wing Arms,1996-02-01,Simulation,Sega,66.25
Galactic Attack,1995-12-01,Shooter,Ving,70
Robotica,1995-09-01,Shooter,Micronet,65.6
Battle Arena Toshinden Remix,1996-03-27,Fighting,Nextech,63.75
NHL All-Star Hockey,1995-11-01,Sports,Gray Matter,62.5
Ghen War,1995-10-24,Shooter,Jumpin Jack,59.35
Shellshock,1996-04-19,Shooter,Core Design,51.2
Street Fighter: The Movie,1995-08-11,Fighting,Capcom,39
Soviet Strike,1997-02-17,Shooter,Tiburon,95
The Need for Speed,1996-07-05,Racing,Electronic Arts,95
Virtua Fighter 2,1996-01-26,Fighting,Sega,92.5
Bust-A-Move 2,1996-09-24,Puzzle,Taito,90
NHL PowerPlay '96,1996-07-02,Sports,Radical,90
NHL 97,1996-12-04,Sports,Visual Concepts,90
Command & Conquer,1996-12-18,Simulation,Westwood Studios,89.9
Dragon Force,1996-12-12,RPG,Sega CS,89.64
Guardian Heroes,1996-06-20,RPG,Treasure,89.2
Andretti Racing,1996-12-20,Racing,Stormfront Studios,88.75
NiGHTS Into Dreams,1996-08-23,Action,Sonic Team,88.56
Panzer Dragoon II Zwei,1996-04-17,Shooter,Team Andromeda,87.5
Street Fighter Alpha 2,1996-11-01,Fighting,Capcom,86.8
Tomb Raider,1996-11-18,Action,Core Design,86.8
Virtua Cop 2,1996-11-22,Shooter,Sega AM2,83.7
World Series Baseball II,1996-08-24,Sports,Sega,82.3
Fighting Vipers,1996-10-29,Fighting,Sega AM2,78.24
Virtual-On: Cyber Troopers,1996-11-18,Action,CRI,77.95
The Legend of Oasis,1996-07-31,RPG,Ancient,77.55
Night Warriors: Darkstalker's Revenge,1996-03-01,Fighting,Capcom,76.2
Virtua Fighter Kids,1996-11-01,Fighting,Sega AM2,73.08
Dark Savior,1996-12-12,RPG,Climax ,71.42
Bug Too!,1996-12-06,Action,Realtime Associates,71.34
Crusader: No Remorse,1996-12-24,Action,Realtime Associates,70.04
Shining Wisdom,1996-06-27,RPG,Sonic! Software Planning,69.38
Sonic 3D Blast,1997-02-14,Action,Sonic Team,66.55
NFL '97,1996-11-20,Sports,Padded Cell Studios,57
Batman Forever: The Arcade Game,1996-11-21,Action,Iguana Entertainment,54.62
Madden NFL 98,1997-09-01,Sports,THQ,87.9
Fighters Megamix,1997-05-13,Fighting,Sega AM2,87.67
Herc's Adventures,1997-07-14,Action,LucasArts,85.13
Saturn Bomberman,1997-08-22,Action,Hudson Soft,83.42
Shining the Holy Ark,1996-06-16,RPG,Sonic! Software Planning,78.81
Sonic Jam,1997-08-22,Action,Sonic Team,77.55
Marvel Super Heroes,1997-10-02,Fighting,Capcom,76.84
Mega Man 8,1997-02-01,Action,Capcom,76.25
Albert Odyssey: Legend of Eldean,1997-07-24,RPG,Sunsoft,74.83
Last Bronx,1997-10-14,Fighting,Sega AM3,71.7
Sonic R,1997-11-18,Racing,Sonic Team,68.92
Manx TT Super Bike,1997-07-30,Racing,Psygnosis,64.1
Scud: The Disposable Assassin,1997-03-19,Shooter,Syrox Developments,63.44
Enemy Zero,1997-11-24,Adventure,Warp,59.8
CrimeWave,1997-03-10,Shooter,Eidos Interactive,58.55
Hexen: Beyond Heretic,1997-03-31,Shooter,id Software,56.3
Panzer Dragoon Saga,1998-04-30,RPG,Team Andromeda,92.46
Shining Force III,1998-06-19,RPG,Sonic! Software Planning,85.45
Burning Rangers,1998-06-05,Action,Sonic Team,75.4
The House of the Dead,1998-05-05,Shooter,Tantalus Interactive,70.54
Magic Knight Rayearth,1998-12-01,RPG,Sega CS,70.03
